hour,presence_people_residential,presence_lighting_residential,presence_appliances_residential,presence_people_office,presence_lighting_office,presence_appliances_office
1,1,0.2,0.2,0,0,0
2,1,0.2,0.2,0,0,0
3,1,0.2,0.2,0,0,0
4,1,0.2,0.2,0,0,0
5,1,0.2,0.2,0,0,0
6,1,0.2,0.2,0,0,0
7,1,0.2,0.2,0,0,0
8,1,1,1,0.2,1,1
9,1,1,1,0.2,1,1
10,0.2,0.2,0.2,1,1,1
11,0.2,0.2,0.2,1,1,1
12,0.2,0.2,0.2,1,1,1
13,0.2,0.2,0.2,1,1,1
14,0.2,0.2,0.2,1,1,1
15,0.2,0.2,0.2,1,1,1
16,0.2,0.2,0.2,1,1,1
17,0.2,0.2,0.2,1,1,1
18,1,1,1,0.2,1,1
19,1,1,1,0.2,1,1
20,1,1,1,0.2,1,1
21,1,1,1,0.2,1,1
22,1,0.2,0.2,0,0,0
23,1,0.2,0.2,0,0,0
24,1,0.2,0.2,0,0,0