building_type_int,building_type,energy_class,energy_class_int,id_BAG,construction_year,floor_area_ground_m2,height_m,volume_m3,energy_label_int,floor_area_total_m2,number_of_residences,population,E_cooling_kWh,E_cooling_capped_at_98th_percentile_kWh,E_cooling_capped_at_98th_percentile_Wh_m2,P_cooling_peak_kW,P_cooling_peak_98th_percentile_kW,P_cooling_peak_98th_percentile_W_m2,electricity_use_kWh,GHG_emissions_electricity_kgCO2eq,GHG_emissions_refrigerant_leaks_kgCO2eq,GHG_emissions_production_phase_kgCO2eq,GHG_emissions_EoL_phase_kgCO2eq,mass_cooling_equipment_kg,ADP_kgSbeq,CSI_kgSieq,GHG_emissions_total_kgCO2eq,electricity_use_intensity_kWh_m2,material_use_intensity_kg_m2,GHG_emissions_intensity_kgCO2eq_m2,avg_SEER_inv,total_MPR,avg_lifetime_cooling_technology_yr
1,New highrise residential,A-A+++++,1,148,2013.6944834811961,465903.6511577476,34.849485342465194,14053680.821156424,5.940793167197685,2203649.88,22749.56,45726.61559999999,79351875.46368465,78522225.70625804,35632.80465690768,57563.54384346647,37517.224991681964,17.025038928453537,10217234.49970079,429123.84898743324,132.81097647055415,186100.8930554391,13453.076606417286,632127.7238848493,11.659333058894982,72870831.61809361,628810.6296257603,4.6365053688568665,0.2868548809055136,0.28534960809008375,0.13011901290116512,0.9500000000000001,15.474999999999998
1,New highrise residential,B-C,2,10,2005.5891905434337,14395.78581431587,41.38810056178543,471248.888642133,7.1134013574454515,86494.81999999999,736.78,1480.9277999999997,2987240.2648337865,2940676.9020707775,33998.30073142851,2804.541549256366,1675.1686478622366,19.367271333268704,382637.9757587058,16070.794981865645,5.930097013432318,8309.52666287961,600.6886744250323,28224.916547830824,0.5205968511683613,3253730.3198022577,24986.940416183723,4.423825331490438,0.3263191546942444,0.2888836628156891,0.13011901290116512,0.9500000000000001,15.475
2,Old highrise residential,A-A+++++,1,93,1987.072356232894,122349.78524549183,25.529432582607924,2925883.6219477947,5.852161748000641,524668.0,5306.0,10665.06,16673557.379924396,16353461.609978423,31169.161469688304,18445.633100080107,10482.277659782616,19.97887742302297,1832573.229232304,76968.07562775677,45.073793937065254,36358.5138223922,2628.326300413893,108177.1054489566,2.2778827936920405,14236767.460575256,115999.98954449993,3.4928244703932845,0.20618201500559705,0.22109217551766056,0.11206026423874191,0.59,7.224999999999999
2,Old highrise residential,B-C,2,865,1974.3645834231543,484857.13211749383,27.38000508480693,12280103.336475588,8.551858044310926,2319428.0,28130.0,56541.299999999996,91350386.34742166,89400924.32599118,38544.384359415846,107489.00900345041,62541.973763271766,26.96439542993866,10018291.203158343,420768.2305326504,268.9304871820686,216931.21393607158,15681.77450140276,645433.1692369647,13.59087123454906,84942945.21593164,653650.1494573068,4.319293896235773,0.27827256083696694,0.2818152361087763,0.11206026423874192,0.59,7.225
3,New lowrise residential,A-A+++++,1,7803,2012.4527432031416,1617130.514098402,9.807520367951962,15670491.575235369,5.742066762729061,4139781.64,33322.55,66978.32549999999,174387774.19073448,172799808.35638177,41741.2857448157,115440.54007160367,80546.06711945441,19.45659798603639,15812284.412129711,664115.9453094479,289.9658416300359,282281.10245830304,20405.86282831106,844767.1519488378,17.685081117869583,110531756.98668492,967092.876437692,3.8195938305890245,0.20406079967754964,0.2336096346467424,0.09150637701818803,0.5900000000000001,7.295
3,New lowrise residential,B-C,2,359,2006.1502639009761,114995.17771034877,12.15813008052104,1330514.9698018678,7.168189132163362,314646.43,3075.17,6181.091699999999,11163625.029790558,10996743.525977967,34949.52580894679,10421.227668780746,6585.413237708065,20.929566045634353,1006272.1590604584,42263.430680539255,23.70748765574903,23079.186549565788,1668.374931293912,69067.81403708218,1.4459249404547234,9037030.877842024,67034.6996490547,3.198104485280377,0.21950928868661304,0.21304770452680719,0.09150637701818803,0.5900000000000001,7.295
4,Old lowrise residential,A-A+++++,1,9935,1977.3852861752634,906076.4462389876,10.009058899855251,8641616.190100573,5.910309816040633,2051540.0,20415.0,41034.149999999994,80264427.86208045,78813018.46974571,38416.515627160916,84190.01738243618,50791.376135983955,24.75768258770677,7211893.782033968,302899.5388454267,182.84895408954222,178003.0504751603,12867.69039579472,532699.9529141997,11.151998343022088,69699989.64388807,493953.12867047125,3.5153561627040997,0.2596585749798686,0.24077187316380438,0.09150637701818803,0.5900000000000001,7.294999999999998
4,Old lowrise residential,B-C,2,39652,1941.5321356573731,5260024.364753484,11.274925636991208,57261138.040300526,8.908726273140212,13125420.0,152245.0,306012.44999999995,566659101.9539553,553508083.5725093,42170.69500042736,721199.6811484394,421260.7772285265,32.0950321763819,50649519.378000766,2127279.8138760324,1516.5387980226953,1476347.1497888763,106723.89034618382,4418183.031572785,92.49403830002596,578087739.3751624,3711867.3928091154,3.8588875158281235,0.3366126974658934,0.28279989461740007,0.09150637701818803,0.5900000000000001,7.295000000000001
5,New highrise office,A-A+++++,1,16,2010.7070757114805,59314.66326249955,69.57922525430243,2626350.3364880793,5.074441924254974,387537.0,195.0,25964.979,50747396.97900475,50522872.74653348,130369.15893587834,21611.768682800663,16399.54745812129,42.317372168647864,7575385.886112145,318166.20721671014,51.166588069338424,68741.42549559343,4969.259674380247,252684.2272347328,4.306691717796214,26916823.236226346,391928.05897475313,19.547516459362967,0.6520260703745262,1.0113306831986446,0.14993972975600273,1.0,17.75
6,Old highrise office,A-A+++++,1,126,1981.0555368526555,261877.8700830572,38.38875443203002,8616662.49389971,5.989835870522641,1502708.1300000001,827.75,100681.44471000001,179597662.6149764,178601150.59152853,118852.8544072817,85767.8219546944,62889.01989621259,41.850455614566066,26779408.253804933,1124735.1466598073,196.21374207618325,263609.7664722778,19056.127696791165,968994.0185608434,16.515310670552342,103220691.69095215,1407597.2545709524,17.820764870557355,0.644831820109234,0.936707020125693,0.14993972975600273,1.0,17.75
6,Old highrise office,B-C,2,14,1962.6887714928716,15490.652515030399,23.577256776383223,365399.0540236027,10.665713599633666,137884.67,451.99,9238.27289,17257587.317772567,17200820.18015997,124747.879370201,6521.204498908218,5197.310272709543,37.69316975345804,2579086.3293947843,108321.62583458095,16.215608050853774,21785.38876156732,1574.847380354264,80080.15668190863,1.364867729640362,8530423.310252264,131698.07758455336,18.70466332040236,0.5807763595612814,0.9551321229876634,0.14993972975600275,1.0,17.75
7,New lowrise office,A-A+++++,1,26,2011.9525423728815,35941.8974444967,7.503154909030342,308350.5213804847,5.518302907124451,137765.0,45.0,9230.255000000001,17702875.672919262,17642169.419852417,128059.88037493135,6508.366341363887,5121.212610113761,37.17353907098146,2984706.480542044,125357.67218276586,32.007578813211005,22945.198766243728,1658.6890674393053,68306.73379369733,1.4375305251140647,8984565.781962905,149993.5675952621,21.665201470199577,0.49582066412875075,1.0887639646881437,0.16918024135871904,0.99,12.190000000000001
8,Old lowrise office,A-A+++++,1,185,1965.1188910697663,114019.11224934814,9.395215930759324,1176926.8106073684,6.155093429887649,419367.41000000003,1015.63,28097.61647,53469423.374072745,53310100.104850896,127120.27409295086,19624.27453180533,15911.320409320475,37.941242046730515,9019015.602596147,378798.6553090382,99.44575255825296,71289.44592228887,5153.453922093171,212225.1916195165,4.4663267324807485,27914542.078004677,455341.00090597844,21.506238652631943,0.5060602864192916,1.0857806068096196,0.16918024135871906,0.9900000000000003,12.19
8,Old lowrise office,B-C,2,149,1922.4673900267403,34379.804651498904,13.764806124068123,447472.6143156011,10.312450412858864,104815.48,259.49,7022.637160000001,13250713.293963283,13154693.901553204,125503.35028330932,8050.006066849931,5769.881237719617,55.04798754649234,2225514.28926484,93471.6001491233,36.061757735747605,25851.50860474744,1868.7837545600555,76958.67594870424,1.6196125872853815,10122578.670533635,121227.95426616653,21.232687092258125,0.7342300578951148,1.1565844497985083,0.16918024135871904,0.9900000000000001,12.190000000000001
